Country,Region,Cluster,State,Branch Code,Branch Name,Sales Head,Employee ID,Employee Name,Designation,Month,Product Category,Product Subcategory,Product,Target Units,Actual Units,Target Sales Value (INR),Actual Sales Value (INR),Achievement %,Leads Generated,Conversions,Conversion Rate %,Customer Calls,Customer Meetings,Average Ticket Size (INR),Estimated Revenue (INR),Estimated Incentive (INR),Quality Score %,Attrition Flag,Variance to Target (INR),Sales per Call (INR),Sales per Meeting (INR),Lead-to-Conversion %,Target Status
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0001,Employee 001,Sales Officer,Jan-2026,Investments,Investments,Recurring Deposit,17,19,"615,994.73","683,353.43",110.93,57,14,24.56,93,17,"35,965.97","41,001.21","1,690.69",97.58,Yes,"67,358.70","7,347.89","40,197.26",0.25,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0001,Employee 001,Sales Officer,Feb-2026,Investments,Investments,Mutual Fund,7,7,"1,555,199.46","1,712,014.80",110.08,35,7,20.00,116,17,"244,573.54","171,201.48","15,681.44",85.01,No,"156,815.34","14,758.75","100,706.75",0.20,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0001,Employee 001,Sales Officer,Mar-2026,Insurance,Insurance,General Insurance,10,8,"441,920.59","347,172.33",78.56,24,7,29.17,104,28,"43,396.54","48,604.13","3,084.59",85.96,No,"-94,748.26","3,338.20","12,399.01",0.29,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0001,Employee 001,Sales Officer,Apr-2026,Loans,Retail Lending,Home Loan,4,4,"7,696,378.86","8,858,815.15",115.10,16,3,18.75,143,28,"2,214,703.79","708,705.21","59,273.50",74.28,No,"1,162,436.29","61,949.76","316,386.26",0.19,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0001,Employee 001,Sales Officer,May-2026,Cards,Cards,Debit Card,33,37,"375,968.61","432,429.59",115.02,222,44,19.82,129,43,"11,687.29","17,297.18","1,524.43",88.18,No,"56,460.98","3,352.17","10,056.50",0.20,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0001,Employee 001,Sales Officer,Jun-2026,Cards,Cards,Debit Card,28,14,"298,978.38","149,218.02",49.91,84,24,28.57,102,19,"10,658.43","5,968.72",570.48,78.43,No,"-149,760.36","1,462.92","7,853.58",0.29,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0002,Employee 002,Senior Sales Officer,Jan-2026,Insurance,Insurance,General Insurance,8,4,"424,482.61","255,190.82",60.12,20,5,25.00,155,41,"63,797.71","35,726.72","2,632.15",95.70,No,"-169,291.79","1,646.39","6,224.17",0.25,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0002,Employee 002,Senior Sales Officer,Feb-2026,Loans,Retail Lending,Personal Loan,10,10,"4,491,624.06","4,919,703.88",109.53,50,7,14.00,146,46,"491,970.39","541,167.43","42,310.97",98.77,No,"428,079.82","33,696.60","106,950.08",0.14,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0002,Employee 002,Senior Sales Officer,Mar-2026,Loans,Retail Lending,Home Loan,3,2,"9,151,655.40","8,179,936.59",89.38,12,3,25.00,155,42,"4,089,968.29","654,394.93","62,679.16",90.50,No,"-971,718.82","52,773.78","194,760.39",0.25,Below Target
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0002,Employee 002,Senior Sales Officer,Apr-2026,Insurance,Insurance,General Insurance,9,8,"438,728.84","459,930.25",104.83,48,14,29.17,161,39,"57,491.28","64,390.23","3,804.19",81.31,No,"21,201.40","2,856.71","11,793.08",0.29,Achieved
India,North,Delhi NCR Cluster,Delhi,DL001,Delhi Connaught Place,Amit Sharma,EMP0002,Employee 002,Senior Sales Officer,May-2026,Insurance,Insurance,General Insurance,8,5,"454,602.07","300,329.23",66.06,15,2,13.33,113,38,"60,065.85","42,046.09","4,060.58",80.87,No,"-154,272.84","2,657.78","7,903.40",0.13,Below Target
